fecha,cod_ine,CCAA,recovered
4/4/2020,6,Cantabria,99
4/5/2020,6,Cantabria,113
4/6/2020,6,Cantabria,118
4/7/2020,6,Cantabria,129
4/8/2020,6,Cantabria,175
4/9/2020,6,Cantabria,214
4/10/2020,6,Cantabria,265
4/11/2020,6,Cantabria,281
4/12/2020,6,Cantabria,297
4/13/2020,6,Cantabria,317
4/14/2020,6,Cantabria,323
4/15/2020,6,Cantabria,363
4/16/2020,6,Cantabria,442
4/17/2020,6,Cantabria,510
4/18/2020,6,Cantabria,534
4/19/2020,6,Cantabria,610
4/20/2020,6,Cantabria,626
4/21/2020,6,Cantabria,646
4/22/2020,6,Cantabria,718
4/23/2020,6,Cantabria,850
4/24/2020,6,Cantabria,913
4/25/2020,6,Cantabria,1046
4/26/2020,6,Cantabria,1127
4/27/2020,6,Cantabria,1241
4/28/2020,6,Cantabria,1290
4/29/2020,6,Cantabria,1372
4/30/2020,6,Cantabria,1483
5/1/2020,6,Cantabria,1509
5/2/2020,6,Cantabria,1551
5/3/2020,6,Cantabria,1616
5/4/2020,6,Cantabria,1620
5/5/2020,6,Cantabria,1658
5/6/2020,6,Cantabria,1696
5/7/2020,6,Cantabria,1758
5/8/2020,6,Cantabria,1786
5/9/2020,6,Cantabria,1862
5/10/2020,6,Cantabria,1933
5/11/2020,6,Cantabria,1963
5/12/2020,6,Cantabria,1981
5/13/2020,6,Cantabria,2054
5/14/2020,6,Cantabria,2110
5/15/2020,6,Cantabria,2152
5/16/2020,6,Cantabria,2195
5/17/2020,6,Cantabria,2270
2/21/2020,8,Castilla La Mancha,
2/22/2020,8,Castilla La Mancha,
2/23/2020,8,Castilla La Mancha,
2/24/2020,8,Castilla La Mancha,
2/25/2020,8,Castilla La Mancha,
2/26/2020,8,Castilla La Mancha,
2/27/2020,8,Castilla La Mancha,
2/28/2020,8,Castilla La Mancha,
2/29/2020,8,Castilla La Mancha,
3/1/2020,8,Castilla La Mancha,
3/2/2020,8,Castilla La Mancha,
3/3/2020,8,Castilla La Mancha,
3/4/2020,8,Castilla La Mancha,
3/5/2020,8,Castilla La Mancha,
3/6/2020,8,Castilla La Mancha,
3/7/2020,8,Castilla La Mancha,
3/8/2020,8,Castilla La Mancha,
3/9/2020,8,Castilla La Mancha,2
3/10/2020,8,Castilla La Mancha,2
3/11/2020,8,Castilla La Mancha,2
3/12/2020,8,Castilla La Mancha,2
3/13/2020,8,Castilla La Mancha,2
3/14/2020,8,Castilla La Mancha,5
3/15/2020,8,Castilla La Mancha,5
3/16/2020,8,Castilla La Mancha,12
3/17/2020,8,Castilla La Mancha,12
3/18/2020,8,Castilla La Mancha,15
3/19/2020,8,Castilla La Mancha,27
3/20/2020,8,Castilla La Mancha,27
3/21/2020,8,Castilla La Mancha,38
3/22/2020,8,Castilla La Mancha,48
3/23/2020,8,Castilla La Mancha,51
3/24/2020,8,Castilla La Mancha,53
3/25/2020,8,Castilla La Mancha,71
3/26/2020,8,Castilla La Mancha,95
3/27/2020,8,Castilla La Mancha,153
3/28/2020,8,Castilla La Mancha,197
3/29/2020,8,Castilla La Mancha,236
3/30/2020,8,Castilla La Mancha,236
3/31/2020,8,Castilla La Mancha,252
4/1/2020,8,Castilla La Mancha,397
4/2/2020,8,Castilla La Mancha,494
4/3/2020,8,Castilla La Mancha,579
4/4/2020,8,Castilla La Mancha,657
4/5/2020,8,Castilla La Mancha,1149
4/6/2020,8,Castilla La Mancha,1259
4/7/2020,8,Castilla La Mancha,1353
4/8/2020,8,Castilla La Mancha,1557
4/9/2020,8,Castilla La Mancha,1766
4/10/2020,8,Castilla La Mancha,1982
4/11/2020,8,Castilla La Mancha,2205
4/12/2020,8,Castilla La Mancha,2365
4/13/2020,8,Castilla La Mancha,2532
4/14/2020,8,Castilla La Mancha,2943
4/15/2020,8,Castilla La Mancha,2998
4/16/2020,8,Castilla La Mancha,3378
4/17/2020,8,Castilla La Mancha,3600
4/18/2020,8,Castilla La Mancha,3838
4/19/2020,8,Castilla La Mancha,3963
4/20/2020,8,Castilla La Mancha,4178
4/21/2020,8,Castilla La Mancha,4242
4/22/2020,8,Castilla La Mancha,4337
4/23/2020,8,Castilla La Mancha,4577
4/24/2020,8,Castilla La Mancha,4782
4/25/2020,8,Castilla La Mancha,4876
4/26/2020,8,Castilla La Mancha,5196
4/27/2020,8,Castilla La Mancha,5282
4/28/2020,8,Castilla La Mancha,5306
4/29/2020,8,Castilla La Mancha,5382
