fecha,cod_ine,CCAA,ICU
4/2/2020,9,Cataluña,1415
4/3/2020,9,Cataluña,1482
4/4/2020,9,Cataluña,1569
4/5/2020,9,Cataluña,1653
4/6/2020,9,Cataluña,1685
4/7/2020,9,Cataluña,1740
4/8/2020,9,Cataluña,1829
4/9/2020,9,Cataluña,1946
4/10/2020,9,Cataluña,1966
4/11/2020,9,Cataluña,1989
4/12/2020,9,Cataluña,2018
4/13/2020,9,Cataluña,2084
4/14/2020,9,Cataluña,2102
4/15/2020,9,Cataluña,2189
4/16/2020,9,Cataluña,2252
4/17/2020,9,Cataluña,2305
4/18/2020,9,Cataluña,2349
4/19/2020,9,Cataluña,2395
4/20/2020,9,Cataluña,2409
4/21/2020,9,Cataluña,2437
4/22/2020,9,Cataluña,2460
4/23/2020,9,Cataluña,2478
4/24/2020,9,Cataluña,2569
4/25/2020,9,Cataluña,2576
4/26/2020,9,Cataluña,2583
4/27/2020,9,Cataluña,2724
4/28/2020,9,Cataluña,2750
4/29/2020,9,Cataluña,2768
4/30/2020,9,Cataluña,2784
5/1/2020,9,Cataluña,2795
5/2/2020,9,Cataluña,2811
5/3/2020,9,Cataluña,2844
5/4/2020,9,Cataluña,2847
5/5/2020,9,Cataluña,2856
5/6/2020,9,Cataluña,2871
5/7/2020,9,Cataluña,2891
5/8/2020,9,Cataluña,2949
5/9/2020,9,Cataluña,2983
5/10/2020,9,Cataluña,2991
5/11/2020,9,Cataluña,2995
5/12/2020,9,Cataluña,2995
5/13/2020,9,Cataluña,3034
5/14/2020,9,Cataluña,3048
5/15/2020,9,Cataluña,3049
5/16/2020,9,Cataluña,3049
5/17/2020,9,Cataluña,3062
2/21/2020,18,Ceuta,
2/22/2020,18,Ceuta,
2/23/2020,18,Ceuta,
2/24/2020,18,Ceuta,
2/25/2020,18,Ceuta,
2/26/2020,18,Ceuta,
2/27/2020,18,Ceuta,
2/28/2020,18,Ceuta,
2/29/2020,18,Ceuta,
3/1/2020,18,Ceuta,
3/2/2020,18,Ceuta,
3/3/2020,18,Ceuta,
3/4/2020,18,Ceuta,
3/5/2020,18,Ceuta,
3/6/2020,18,Ceuta,
3/7/2020,18,Ceuta,
3/8/2020,18,Ceuta,
3/9/2020,18,Ceuta,0
3/10/2020,18,Ceuta,0
3/11/2020,18,Ceuta,0
3/12/2020,18,Ceuta,0
3/13/2020,18,Ceuta,0
3/14/2020,18,Ceuta,0
3/15/2020,18,Ceuta,0
3/16/2020,18,Ceuta,0
3/17/2020,18,Ceuta,0
3/18/2020,18,Ceuta,0
3/19/2020,18,Ceuta,0
3/20/2020,18,Ceuta,0
